Title,frontpath,backpath,price,URL,Date,Adult,Tags
Overlaid,shop/images/amateur/fronts/overlaid.JPG,,18,https://buy.stripe.com/5kQ9AS5fn5NT4r9decbjW00,2026-03-13,true,crude
The State of Things,shop/images/amateur/fronts/recognize.JPG,,18,https://buy.stripe.com/28EcN4azH2BHaPxca8bjW0j,2026-03-07,false,self-deprecating
Flotation Devicee,shop/images/amateur/fronts/flotationdevice.JPG,,18,https://buy.stripe.com/9B6fZg5fn4JPf5N8XWbjW03,2026-03-13,false,interactive
Descartes,shop/images/amateur/fronts/descartes.JPG,shop/images/amateur/backs/descartes.JPG,18,https://buy.stripe.com/14A6oGePX1xD7Dl5LKbjW0k,2026-02-27,false,
Life is a Highway,shop/images/amateur/fronts/highway.JPG,,18,https://buy.stripe.com/7sY6oG0Z77W13n5fmkbjW0d,2026-03-14,false,orlando
Emo Night,shop/images/amateur/fronts/emonight.JPG,,18,https://buy.stripe.com/eVq28q7nv6RXg9R7TSbjW0c,2026-02-28,false,event
Titan,shop/images/amateur/fronts/oceangate.JPG,,18,https://buy.stripe.com/3cI14mdLT5NTe1J0rqbjW04,2026-03-14,false,
Karaoke Time,shop/images/amateur/fronts/karaoketime.JPG,,18,https://buy.stripe.com/fZu7sK0Z70tz6zhb64bjW0e,2026-01-16,false,event
KFC,shop/images/amateur/fronts/kfc.JPG,,18,https://buy.stripe.com/3cIaEW5fnfotcXFca8bjW0f,2026-03-06,true,parody|crude
Baby Suprise,shop/images/amateur/fronts/plasticbabies.JPG,,18,https://buy.stripe.com/cNi6oG23bdgl1eX6PObjW0s,2026-03-12,false,
Slut 4 Shirts,shop/images/amateur/fronts/shirtslut.JPG,,18,https://buy.stripe.com/4gMbJ0azH2BH8Hp7TSbjW0g,2026-02-27,true,crude
Butt Stuff,shop/images/amateur/fronts/supremebutt.JPG,,18,https://buy.stripe.com/6oU8wOgY57W12j14HGbjW0b,2026-03-06,true,parody
The Three F's,shop/images/amateur/fronts/threefs.JPG,,18,https://buy.stripe.com/eVq4gycHPfotaPx8XWbjW0r,2026-02-17,false,
TURBO BUTTON,shop/images/amateur/fronts/turbobutton.JPG,,18,https://buy.stripe.com/28E3cudLTa498Hpb64bjW0q,2026-02-17,false,interactive
Vibe Chart,shop/images/amateur/fronts/vibechart.JPG,,18,https://buy.stripe.com/5kQ14mcHP2BHbTBgqobjW0a,2026-02-17,false,infographic
The 7th Sense,shop/images/amateur/fronts/6thsense.JPG,,18,https://buy.stripe.com/5kQ8wOgY5b8d4r93DCbjW05,2026-02-17,false,parody
(BDS)M,shop/images/amateur/fronts/bds_m.JPG,,18,https://buy.stripe.com/00w7sK37f1xDf5NgqobjW06,2026-03-06,true,parody|political|bdsm
Born to Die,shop/images/amateur/fronts/borntodie.JPG,,18,https://buy.stripe.com/cNi4gyfU17W12j1decbjW07,2026-02-06,false,
California Prop. 65,shop/images/amateur/fronts/c65warning.JPG,,18,https://buy.stripe.com/9B6eVcbDLb8d8Hp5LKbjW08,2026-03-03,false,
Yeah I Did,shop/images/amateur/fronts/coulda.JPG,,18,https://buy.stripe.com/5kQbJ037ffot4r93DCbjW0h,2026-03-14,false,self-deprecating
Lawyered Duck,shop/images/amateur/fronts/ducking.JPG,,18,https://buy.stripe.com/cNi28qePX2BH4r9eigbjW0p,2026-03-13,true,parody
Evergreen,shop/images/amateur/fronts/evergreen.JPG,shop/images/amateur/backs/evergreen.JPG,18,https://buy.stripe.com/fZu14m4bj7W11eXa20bjW09,2026-03-14,false,
Pro in Procession,shop/images/amateur/fronts/funeral.JPG,,18,https://buy.stripe.com/bJe8wO0Z73FLf5Nb64bjW0o,2026-03-13,false,crude
Thundergun 4,shop/images/amateur/fronts/hangdong.JPG,,18,https://buy.stripe.com/14AeVcdLT3FLe1J1vubjW0i,2026-03-06,true,crude
Ice Cream,shop/images/amateur/fronts/icecream.JPG,,18,https://buy.stripe.com/28E8wOdLT3FL5vdfmkbjW0n,2026-01-16,false,event
Ingredients List,shop/images/amateur/fronts/ingredients.JPG,,18,https://buy.stripe.com/cNi4gy7nv2BHcXFa20bjW0m,2026-03-14,false,
Jet2 Holiday,shop/images/amateur/fronts/jet2.JPG,,18,https://buy.stripe.com/4gM5kCazH3FL9Lt8XWbjW0l,2026-03-13,true,bdsm
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
